run_id,round,phase,case_id,request_id,outcome,reason_code,t0_input_arrival_ns,t1_preprocess_end_ns,t2_packing_end_ns,t3_inference_start_ns,t4_inference_end_ns,t5_postprocess_end_ns,t6_adapter_end_ns,t7_plan_ready_ns,preprocess_ms,packing_ms,inference_setup_ms,model_inference_ms,postprocess_ms,adapter_ms,plan_validation_ms,pre_model_ms,post_model_ms,planner_e2e_ms,model_only_ms,planner_overhead_ms,missing_stages,stage_source,outcome_detail,model_id,model_sha256,config_id,dataset_version,git_sha,wall_time_utc
b3-20260918T100755Z-35051d77,10,measured,model-only,modelonly-model-only-0010,READY,MODEL_ONLY,7734062853100,,,7734062854200,7734066033700,,,,,,,3.1795,,,,0.0011,,,3.1795,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,11,measured,model-only,modelonly-model-only-0011,READY,MODEL_ONLY,7734066067300,,,7734066068800,7734069142800,,,,,,,3.074,,,,0.0015,,,3.074,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,12,measured,model-only,modelonly-model-only-0012,READY,MODEL_ONLY,7734069174700,,,7734069175800,7734072372500,,,,,,,3.1967,,,,0.0011,,,3.1967,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,13,measured,model-only,modelonly-model-only-0013,READY,MODEL_ONLY,7734072399800,,,7734072400300,7734075387300,,,,,,,2.987,,,,0.0005,,,2.987,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,14,measured,model-only,modelonly-model-only-0014,READY,MODEL_ONLY,7734075410100,,,7734075410600,7734078171600,,,,,,,2.761,,,,0.0005,,,2.761,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,15,measured,model-only,modelonly-model-only-0015,READY,MODEL_ONLY,7734078190200,,,7734078190600,7734080745200,,,,,,,2.5546,,,,0.0004,,,2.5546,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,16,measured,model-only,modelonly-model-only-0016,READY,MODEL_ONLY,7734080764800,,,7734080765400,7734083270900,,,,,,,2.5055,,,,0.0006,,,2.5055,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,17,measured,model-only,modelonly-model-only-0017,READY,MODEL_ONLY,7734083287900,,,7734083288300,7734085871200,,,,,,,2.5829,,,,0.0004,,,2.5829,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,18,measured,model-only,modelonly-model-only-0018,READY,MODEL_ONLY,7734085893300,,,7734085894000,7734088695400,,,,,,,2.8014,,,,0.0007,,,2.8014,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
b3-20260918T100755Z-35051d77,19,measured,model-only,modelonly-model-only-0019,READY,MODEL_ONLY,7734088714500,,,7734088714900,7734091559600,,,,,,,2.8447,,,,0.0004,,,2.8447,,preprocess_end|packing_end|postprocess_end|adapter_end|plan_ready,INSTRUMENTED,,student-v0-r3-fp32,ffb1ed5e9b23aa7100343bb4f02c8cfef3da5049e9c5eba4c0e66247c96ee243,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,f8e567ef8cd3cce592b920947dee9c6a2f3a9cf0,2026-09-18T10:08:06.508137+00:00
