run_id,round,sample_index,wall_time_utc,monotonic_ns,scope,rss_kib,peak_rss_kib,source,notes
b3-20260918T100755Z-35051d77,1,0,2026-09-18T10:07:59.462975+00:00,7727300291400,planner_process,323536.0,324708.0,psutil,
b3-20260918T100755Z-35051d77,1,1,2026-09-18T10:08:00.465262+00:00,7728302374500,planner_process,323836.0,325016.0,psutil,
b3-20260918T100755Z-35051d77,1,2,2026-09-18T10:08:01.392323+00:00,7729229359500,planner_process,323896.0,325080.0,psutil,
b3-20260918T100755Z-35051d77,2,0,2026-09-18T10:08:01.392323+00:00,7729229553300,planner_process,323876.0,325080.0,psutil,
b3-20260918T100755Z-35051d77,2,1,2026-09-18T10:08:02.405058+00:00,7730242759000,planner_process,323928.0,325108.0,psutil,
b3-20260918T100755Z-35051d77,2,2,2026-09-18T10:08:03.422812+00:00,7731260590100,planner_process,323952.0,325132.0,psutil,
b3-20260918T100755Z-35051d77,2,3,2026-09-18T10:08:03.767397+00:00,7731604410600,planner_process,323952.0,325132.0,psutil,
b3-20260918T100755Z-35051d77,3,0,2026-09-18T10:08:03.767397+00:00,7731604958000,planner_process,323932.0,325132.0,psutil,
b3-20260918T100755Z-35051d77,3,1,2026-09-18T10:08:04.769906+00:00,7732607071000,planner_process,320436.0,325136.0,psutil,
b3-20260918T100755Z-35051d77,3,2,2026-09-18T10:08:05.788093+00:00,7733625403100,planner_process,324064.0,325244.0,psutil,
b3-20260918T100755Z-35051d77,3,3,2026-09-18T10:08:05.859736+00:00,7733696795400,planner_process,324060.0,325244.0,psutil,
