run_id,round,phase,case_id,request_id,outcome,reason_code,t0_input_arrival_ns,t1_preprocess_end_ns,t2_packing_end_ns,t3_inference_start_ns,t4_inference_end_ns,t5_postprocess_end_ns,t6_adapter_end_ns,t7_plan_ready_ns,preprocess_ms,packing_ms,inference_setup_ms,model_inference_ms,postprocess_ms,adapter_ms,plan_validation_ms,pre_model_ms,post_model_ms,planner_e2e_ms,model_only_ms,planner_overhead_ms,missing_stages,stage_source,outcome_detail,model_id,model_sha256,config_id,dataset_version,git_sha,wall_time_utc
b3-20260918T100755Z-35051d77,1,measured,ACC_C04_multi_target_binding#0007,qwen-28709b6833eb40448248462b65bd66e7,READY,STUDENT_V0_STRUCTURED,7727414358500,7727426650800,7727427880500,7727427886800,7727438399900,7727438505100,7727439373300,7727441226600,12.2923,1.2297,0.0063,10.5131,0.1052,0.8682,1.8533,13.5283,2.8267,26.8681,10.5131,16.354999999999997,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,SUP_A06_yellow_to_red#0008,qwen-4913bc7033cb49ee83ba03161992d518,READY,STUDENT_V0_STRUCTURED,7727441329800,7727456423800,7727457879200,7727457887400,7727469271200,7727469381000,7727470497800,7727472464400,15.094,1.4554,0.0082,11.3838,0.1098,1.1168,1.9666,16.5576,3.1932,31.1346,11.3838,19.750799999999998,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,QWF_02_lane_change_then_speed#0009,qwen-fd09f09942594b57a691df0f40aa7893,READY,STUDENT_V0_STRUCTURED,7727472587900,7727490820500,7727491516500,7727491520800,7727503405800,7727503482400,7727504033400,7727505207300,18.2326,0.696,0.0043,11.885,0.0766,0.551,1.1739,18.9329,1.8015,32.6194,11.885,20.7344,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,B06_left_turn#0010,qwen-c5b3df0e5afc4a02ab00211670058b5c,READY,STUDENT_V0_STRUCTURED,7727505295400,7727520866500,7727522143600,7727522153800,7727536601900,7727536725400,7727537813200,7727539442900,15.5711,1.2771,0.0102,14.4481,0.1235,1.0878,1.6297,16.8584,2.841,34.1475,14.4481,19.6994,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,VAR_C03_multi_target_partial_occlusion#0011,qwen-b618989ff1f340949cb9ce4743448642,READY,STUDENT_V0_STRUCTURED,7727539558500,7727562770100,7727564162200,7727564170600,7727577075100,7727577246700,7727578251300,7727580536000,23.2116,1.3921,0.0084,12.9045,0.1716,1.0046,2.2847,24.6121,3.4609,40.9775,12.9045,28.073,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,B05_smooth_right_curve#0012,qwen-84872885b4064561af99064e4ad60464,READY,STUDENT_V0_STRUCTURED,7727580677200,7727602498700,7727604024400,7727604031300,7727618729700,7727618857100,7727619661800,7727621181000,21.8215,1.5257,0.0069,14.6984,0.1274,0.8047,1.5192,23.3541,2.4513,40.5038,14.6984,25.8054,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,CX03_construction_bicycle_detour#0013,qwen-0d9ac97875bc4cae83ff6d12e7556f0d,READY,STUDENT_V0_STRUCTURED,7727621264100,7727642361000,7727643005000,7727643009500,7727654740800,7727654857900,7727655485100,7727656884400,21.0969,0.644,0.0045,11.7313,0.1171,0.6272,1.3993,21.7454,2.1436,35.6203,11.7313,23.889000000000003,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,B02_straight_left_offset#0014,qwen-551c4ffe84b447e2ae26de36bb80a550,READY,STUDENT_V0_STRUCTURED,7727657003300,7727676936200,7727678835300,7727678842100,7727690047300,7727690114600,7727690746000,7727692428600,19.9329,1.8991,0.0068,11.2052,0.0673,0.6314,1.6826,21.8388,2.3813,35.4253,11.2052,24.220100000000002,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,VAR_A06_red_light_wet_weather#0015,qwen-d4d3f1fe72644e2e8900bda150221beb,READY,STUDENT_V0_STRUCTURED,7727692519200,7727708766600,7727709392000,7727709396400,7727721422800,7727721533500,7727722097500,7727723394400,16.2474,0.6254,0.0044,12.0264,0.1107,0.564,1.2969,16.8772,1.9716,30.8752,12.0264,18.848799999999997,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,VAR_B06_lane_keep_smooth_curve#0016,qwen-ce54f10ec2dc4749995c57bdf8d0f857,READY,STUDENT_V0_STRUCTURED,7727723499500,7727739018200,7727739513100,7727739515900,7727747638700,7727747700300,7727748141900,7727749014000,15.5187,0.4949,0.0028,8.1228,0.0616,0.4416,0.8721,16.0164,1.3753,25.5145,8.1228,17.3917,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
b3-20260918T100755Z-35051d77,1,measured,SUP_A17_detour_left_construction#0017,qwen-0ea770b64556401c931cf8a3b2f7d2a0,READY,STUDENT_V0_STRUCTURED,7727749079700,7727762375600,7727763184600,7727763190400,7727772654900,7727772758700,7727773257100,7727774487500,13.2959,0.809,0.0058,9.4645,0.1038,0.4984,1.2304,14.1107,1.8326,25.4078,9.4645,15.943300000000002,,INSTRUMENTED,,student-v0-r3-fp32,b4493f3fdb00f6673520bebd64f7915b37f5ecdc9d65737226046b12d74d434f,student-v0-r3-structure-20260911,NOT_APPLICABLE_RANDOM_INIT,64577ea046ced0fef3a177f39d88280a82f45253,2026-09-18T10:08:05.877941+00:00
